_id,casa circondariale,anno_rilevazione_detenuti,indicatori,detenuti
270,Casa di Reclusione Opera,2016,detenuti stranieri Altra provenienza,0
271,Casa Circondariale S.Vittore,2015,Capienza regolamentare,750
272,Casa Circondariale S.Vittore,2015,Detenuti presenti al 31.12,873
273,Casa Circondariale S.Vittore,2015,detenuti stranieri totale,552
274,Casa Circondariale S.Vittore,2015,detenuti stranieri Ue,97
275,Casa Circondariale S.Vittore,2015,detenuti stranieri Ex Jugoslavia,10
276,Casa Circondariale S.Vittore,2015,detenuti stranieri Albania,45
277,Casa Circondariale S.Vittore,2015,detenuti stranieri Altri paesi europei,12
278,Casa Circondariale S.Vittore,2015,detenuti stranieri Tunisia,33
279,Casa Circondariale S.Vittore,2015,detenuti stranieri Marocco,126
280,Casa Circondariale S.Vittore,2015,detenuti stranieri Algeria,20
281,Casa Circondariale S.Vittore,2015,detenuti stranieri Nigeria,5
282,Casa Circondariale S.Vittore,2015,detenuti stranieri Altri paesi africani,67
283,Casa Circondariale S.Vittore,2015,detenuti stranieri Medio oriente,4
284,Casa Circondariale S.Vittore,2015,detenuti stranieri Altri paesi asiatici,33
285,Casa Circondariale S.Vittore,2015,detenuti stranieri Nord America,0
286,Casa Circondariale S.Vittore,2015,detenuti stranieri Centro America,23
287,Casa Circondariale S.Vittore,2015,detenuti stranieri Sud America,77
288,Casa Circondariale S.Vittore,2015,detenuti stranieri Altra provenienza,0
289,Casa di Reclusione Bollate,2015,Capienza regolamentare,1242
290,Casa di Reclusione Bollate,2015,Detenuti presenti al 31.12,1096
291,Casa di Reclusione Bollate,2015,detenuti stranieri totale,357
292,Casa di Reclusione Bollate,2015,detenuti stranieri Ue,58
293,Casa di Reclusione Bollate,2015,detenuti stranieri Ex Jugoslavia,20
294,Casa di Reclusione Bollate,2015,detenuti stranieri Albania,52
295,Casa di Reclusione Bollate,2015,detenuti stranieri Altri paesi europei,8
296,Casa di Reclusione Bollate,2015,detenuti stranieri Tunisia,16
297,Casa di Reclusione Bollate,2015,detenuti stranieri Marocco,58
298,Casa di Reclusione Bollate,2015,detenuti stranieri Algeria,3
299,Casa di Reclusione Bollate,2015,detenuti stranieri Nigeria,12
300,Casa di Reclusione Bollate,2015,detenuti stranieri Altri paesi africani,29
301,Casa di Reclusione Bollate,2015,detenuti stranieri Medio oriente,3
302,Casa di Reclusione Bollate,2015,detenuti stranieri Altri paesi asiatici,31
303,Casa di Reclusione Bollate,2015,detenuti stranieri Nord America,0
304,Casa di Reclusione Bollate,2015,detenuti stranieri Centro America,13
305,Casa di Reclusione Bollate,2015,detenuti stranieri Sud America,53
306,Casa di Reclusione Bollate,2015,detenuti stranieri Altra provenienza,1
307,Casa di Reclusione Opera,2015,Capienza regolamentare,911
308,Casa di Reclusione Opera,2015,Detenuti presenti al 31.12,1284
309,Casa di Reclusione Opera,2015,detenuti stranieri totale,355
310,Casa di Reclusione Opera,2015,detenuti stranieri Ue,61
311,Casa di Reclusione Opera,2015,detenuti stranieri Ex Jugoslavia,18
312,Casa di Reclusione Opera,2015,detenuti stranieri Albania,72
313,Casa di Reclusione Opera,2015,detenuti stranieri Altri paesi europei,8
314,Casa di Reclusione Opera,2015,detenuti stranieri Tunisia,20
315,Casa di Reclusione Opera,2015,detenuti stranieri Marocco,80
316,Casa di Reclusione Opera,2015,detenuti stranieri Algeria,2
317,Casa di Reclusione Opera,2015,detenuti stranieri Nigeria,2
318,Casa di Reclusione Opera,2015,detenuti stranieri Altri paesi africani,19
319,Casa di Reclusione Opera,2015,detenuti stranieri Medio oriente,0
320,Casa di Reclusione Opera,2015,detenuti stranieri Altri paesi asiatici,24
321,Casa di Reclusione Opera,2015,detenuti stranieri Nord America,1
322,Casa di Reclusione Opera,2015,detenuti stranieri Centro America,12
323,Casa di Reclusione Opera,2015,detenuti stranieri Sud America,36
324,Casa di Reclusione Opera,2015,detenuti stranieri Altra provenienza,0
325,Casa Circondariale S.Vittore,2014,Capienza regolamentare,753
326,Casa Circondariale S.Vittore,2014,Detenuti presenti al 31.12,971
327,Casa Circondariale S.Vittore,2014,detenuti stranieri totale,605
328,Casa Circondariale S.Vittore,2014,detenuti stranieri Ue,117
329,Casa Circondariale S.Vittore,2014,detenuti stranieri Ex Jugoslavia,18
330,Casa Circondariale S.Vittore,2014,detenuti stranieri Albania,66
331,Casa Circondariale S.Vittore,2014,detenuti stranieri Altri paesi europei,13
332,Casa Circondariale S.Vittore,2014,detenuti stranieri Tunisia,50
333,Casa Circondariale S.Vittore,2014,detenuti stranieri Marocco,119
334,Casa Circondariale S.Vittore,2014,detenuti stranieri Algeria,20
335,Casa Circondariale S.Vittore,2014,detenuti stranieri Nigeria,4
336,Casa Circondariale S.Vittore,2014,detenuti stranieri Altri paesi africani,62
337,Casa Circondariale S.Vittore,2014,detenuti stranieri Medio oriente,7
338,Casa Circondariale S.Vittore,2014,detenuti stranieri Altri paesi asiatici,39
339,Casa Circondariale S.Vittore,2014,detenuti stranieri Nord America,0
340,Casa Circondariale S.Vittore,2014,detenuti stranieri Centro America,20
341,Casa Circondariale S.Vittore,2014,detenuti stranieri Sud America,70
342,Casa Circondariale S.Vittore,2014,detenuti stranieri Altra provenienza,0
343,Casa di Reclusione Bollate,2014,Capienza regolamentare,1242
344,Casa di Reclusione Bollate,2014,Detenuti presenti al 31.12,1148
345,Casa di Reclusione Bollate,2014,detenuti stranieri totale,397
346,Casa di Reclusione Bollate,2014,detenuti stranieri Ue,71
347,Casa di Reclusione Bollate,2014,detenuti stranieri Ex Jugoslavia,25
348,Casa di Reclusione Bollate,2014,detenuti stranieri Albania,50
349,Casa di Reclusione Bollate,2014,detenuti stranieri Altri paesi europei,6
350,Casa di Reclusione Bollate,2014,detenuti stranieri Tunisia,26
351,Casa di Reclusione Bollate,2014,detenuti stranieri Marocco,69
352,Casa di Reclusione Bollate,2014,detenuti stranieri Algeria,1
353,Casa di Reclusione Bollate,2014,detenuti stranieri Nigeria,10
354,Casa di Reclusione Bollate,2014,detenuti stranieri Altri paesi africani,33
355,Casa di Reclusione Bollate,2014,detenuti stranieri Medio oriente,4
356,Casa di Reclusione Bollate,2014,detenuti stranieri Altri paesi asiatici,35
357,Casa di Reclusione Bollate,2014,detenuti stranieri Nord America,1
358,Casa di Reclusione Bollate,2014,detenuti stranieri Centro America,11
359,Casa di Reclusione Bollate,2014,detenuti stranieri Sud America,55
360,Casa di Reclusione Bollate,2014,detenuti stranieri Altra provenienza,0
361,Casa di Reclusione Opera,2014,Capienza regolamentare,911
362,Casa di Reclusione Opera,2014,Detenuti presenti al 31.12,1285
363,Casa di Reclusione Opera,2014,detenuti stranieri totale,401
364,Casa di Reclusione Opera,2014,detenuti stranieri Ue,66
365,Casa di Reclusione Opera,2014,detenuti stranieri Ex Jugoslavia,19
366,Casa di Reclusione Opera,2014,detenuti stranieri Albania,71
367,Casa di Reclusione Opera,2014,detenuti stranieri Altri paesi europei,6
368,Casa di Reclusione Opera,2014,detenuti stranieri Tunisia,24
369,Casa di Reclusione Opera,2014,detenuti stranieri Marocco,95
370,Casa di Reclusione Opera,2014,detenuti stranieri Algeria,6
371,Casa di Reclusione Opera,2014,detenuti stranieri Nigeria,2
372,Casa di Reclusione Opera,2014,detenuti stranieri Altri paesi africani,21
373,Casa di Reclusione Opera,2014,detenuti stranieri Medio oriente,3
374,Casa di Reclusione Opera,2014,detenuti stranieri Altri paesi asiatici,29
375,Casa di Reclusione Opera,2014,detenuti stranieri Nord America,1
376,Casa di Reclusione Opera,2014,detenuti stranieri Centro America,13
377,Casa di Reclusione Opera,2014,detenuti stranieri Sud America,44
378,Casa di Reclusione Opera,2014,detenuti stranieri Altra provenienza,1
379,Casa Circondariale S.Vittore,2013,Capienza regolamentare,685
380,Casa Circondariale S.Vittore,2013,Detenuti presenti al 31.12,1287
381,Casa Circondariale S.Vittore,2013,detenuti stranieri totale,814
382,Casa Circondariale S.Vittore,2013,detenuti stranieri Ue,144
383,Casa Circondariale S.Vittore,2013,detenuti stranieri Ex Jugoslavia,34
384,Casa Circondariale S.Vittore,2013,detenuti stranieri Albania,68
385,Casa Circondariale S.Vittore,2013,detenuti stranieri Altri paesi europei,27
386,Casa Circondariale S.Vittore,2013,detenuti stranieri Tunisia,67
387,Casa Circondariale S.Vittore,2013,detenuti stranieri Marocco,178
388,Casa Circondariale S.Vittore,2013,detenuti stranieri Algeria,16
389,Casa Circondariale S.Vittore,2013,detenuti stranieri Nigeria,5
390,Casa Circondariale S.Vittore,2013,detenuti stranieri Altri paesi africani,94
391,Casa Circondariale S.Vittore,2013,detenuti stranieri Medio oriente,12
392,Casa Circondariale S.Vittore,2013,detenuti stranieri Altri paesi asiatici,42
