Anno;Cittadinanza;Continente;Genere;Residenti
1988;Niger;Africa;Maschi;1
1988;Nigeria;Africa;Femmine;18
1988;Nigeria;Africa;Maschi;37
1988;Norway;Europa;Femmine;11
1988;Norway;Europa;Maschi;15
1988;New Zealand;Oceania;Femmine;6
1988;New Zealand;Oceania;Maschi;8
1988;Netherlands;Europa;Femmine;149
1988;Netherlands;Europa;Maschi;157
1988;Pakistan;Asia;Femmine;6
1988;Pakistan;Asia;Maschi;64
1988;Panama;Centro America;Femmine;4
1988;Panama;Centro America;Maschi;9
1988;Paraguay;Sud America;Femmine;5
1988;Paraguay;Sud America;Maschi;1
1988;Peru;Sud America;Femmine;112
1988;Peru;Sud America;Maschi;50
1988;Poland;Europa;Femmine;109
1988;Poland;Europa;Maschi;86
1988;Portugal;Europa;Femmine;90
1988;Portugal;Europa;Maschi;51
1988;United Kingdom;Europa;Femmine;1123
1988;United Kingdom;Europa;Maschi;1121
1988;Romania;Europa;Femmine;107
1988;Romania;Europa;Maschi;92
1988;Rwanda;Africa;Femmine;5
1988;Rwanda;Africa;Maschi;6
1988;San Marino;Europa;Femmine;49
1988;San Marino;Europa;Maschi;31
1988;Senegal;Africa;Femmine;10
1988;Senegal;Africa;Maschi;84
1988;Seychelles;Africa;Femmine;68
1988;Seychelles;Africa;Maschi;11
1988;Sierra Leone;Africa;Femmine;6
1988;Sierra Leone;Africa;Maschi;13
1988;Singapore;Asia;Femmine;4
1988;Singapore;Asia;Maschi;4
1988;Syria;Asia;Femmine;40
1988;Syria;Asia;Maschi;77
1988;Somalia;Africa;Femmine;53
1988;Somalia;Africa;Maschi;74
1988;Spain;Europa;Femmine;506
1988;Spain;Europa;Maschi;369
1988;Sri Lanka;Asia;Femmine;130
1988;Sri Lanka;Asia;Maschi;247
1988;United States of America;Nord America;Femmine;815
1988;United States of America;Nord America;Maschi;823
1988;South Africa;Africa;Femmine;23
1988;South Africa;Africa;Maschi;25
1988;Sudan;Africa;Femmine;5
1988;Sudan;Africa;Maschi;20
1988;Sweden;Europa;Femmine;75
1988;Sweden;Europa;Maschi;67
1988;Switzerland;Europa;Femmine;987
1988;Switzerland;Europa;Maschi;1006
1988;Taiwan (ex Formosa);Asia;Femmine;41
1988;Taiwan (ex Formosa);Asia;Maschi;34
1988;Tanzania;Africa;Femmine;3
1988;Tanzania;Africa;Maschi;3
1988;Thailandia;Asia;Femmine;32
1988;Thailandia;Asia;Maschi;5
1988;Togo;Centro America;Femmine;1
1988;Togo;Centro America;Maschi;5
1988;Trinidad and Tobago;Centro America;Femmine;2
1988;Trinidad and Tobago;Centro America;Maschi;2
1988;Tunisia;Africa;Femmine;51
1988;Tunisia;Africa;Maschi;191
1988;Turkey;Asia;Femmine;240
1988;Turkey;Asia;Maschi;286
1988;Uganda;Africa;Maschi;1
1988;Hungary;Europa;Femmine;92
1988;Hungary;Europa;Maschi;85
1988;Uruguay;Sud America;Femmine;60
1988;Uruguay;Sud America;Maschi;56
1988;Venezuela;Sud America;Femmine;36
1988;Venezuela;Sud America;Maschi;55
1988;Vietnam;Asia;Femmine;8
1988;Vietnam;Asia;Maschi;38
1988;Yemen;Asia;Maschi;4
1988;Zambia;Africa;Femmine;1
1988;Zambia;Africa;Maschi;1
1989;Afghanistan;Asia;Femmine;6
1989;Afghanistan;Asia;Maschi;6
1989;Albania;Europa;Femmine;7
1989;Albania;Europa;Maschi;12
1989;Algeria;Africa;Femmine;20
1989;Algeria;Africa;Maschi;68
1989;Altre nazioni o n.d.;None;Femmine;65
1989;Altre nazioni o n.d.;None;Maschi;96
1989;Angola;Africa;Maschi;2
1989;Antigua e Barbuda;Centro America;Maschi;1
1989;Apolide;None;Femmine;25
1989;Apolide;None;Maschi;48
1989;Saudi Arabia;Asia;Femmine;2
1989;Saudi Arabia;Asia;Maschi;5
1989;Area Ex-Urss;Europa;Femmine;36
1989;Area Ex-Urss;Europa;Maschi;27
1989;Argentina;Sud America;Femmine;197
1989;Argentina;Sud America;Maschi;214
1989;Australia;Oceania;Femmine;52
1989;Australia;Oceania;Maschi;41
1989;Austria;Europa;Femmine;292
1989;Austria;Europa;Maschi;237
1989;Bahamas;Centro America;Femmine;1
1989;Bangladesh;Asia;Femmine;4
1989;Bangladesh;Asia;Maschi;14
1989;Belgium;Europa;Femmine;146
1989;Belgium;Europa;Maschi;100
1989;Benin (ex Dahomey);Africa;Maschi;1
1989;Bolivia;Sud America;Femmine;13
1989;Bolivia;Sud America;Maschi;6
1989;Brazil;Sud America;Femmine;281
1989;Brazil;Sud America;Maschi;190
1989;Bulgaria;Europa;Femmine;44
1989;Bulgaria;Europa;Maschi;47
1989;Burkina Faso (ex Alto Volta);Africa;Femmine;1
1989;Burkina Faso (ex Alto Volta);Africa;Maschi;3
1989;Burundi;Africa;Femmine;3
1989;Burundi;Africa;Maschi;7
1989;Cameroon;Africa;Femmine;12
1989;Cameroon;Africa;Maschi;21
1989;Canada;Nord America;Femmine;66
1989;Canada;Nord America;Maschi;64
1989;Cape Verde;Africa;Femmine;59
1989;Cape Verde;Africa;Maschi;12
1989;Czechoslovakia;Europa;Femmine;60
1989;Czechoslovakia;Europa;Maschi;50
1989;Central African Republic.;Africa;Maschi;1
1989;Chile;Sud America;Femmine;83
1989;Chile;Sud America;Maschi;68
1989;China;Asia;Femmine;674
1989;China;Asia;Maschi;920
1989;Cyprus;Europa;Femmine;14
1989;Cyprus;Europa;Maschi;30
1989;Colombia;Sud America;Femmine;68
1989;Colombia;Sud America;Maschi;47
1989;Congo;Africa;Femmine;5
1989;Congo;Africa;Maschi;2
1989;Congo Rep. Dem (ex Zaire);Africa;Femmine;4
1989;Congo Rep. Dem (ex Zaire);Africa;Maschi;18
1989;North Korea;Asia;Femmine;2
1989;North Korea;Asia;Maschi;2
1989;South Korea;Asia;Femmine;105
1989;South Korea;Asia;Maschi;87
1989;Ivory Coast;Africa;Femmine;13
1989;Ivory Coast;Africa;Maschi;42
1989;Costa Rica;Centro America;Femmine;9
1989;Costa Rica;Centro America;Maschi;2
1989;Cuba;Centro America;Femmine;8
1989;Cuba;Centro America;Maschi;7
1989;Denmark;Europa;Femmine;55
1989;Denmark;Europa;Maschi;39
1989;Dominicana, Rep.;Centro America;Femmine;65
1989;Dominicana, Rep.;Centro America;Maschi;10
1989;Ecuador;Sud America;Femmine;25
1989;Ecuador;Sud America;Maschi;9
1989;Egypt;Africa;Femmine;1034
1989;Egypt;Africa;Maschi;2795
1989;El Salvador;Centro America;Femmine;379
1989;El Salvador;Centro America;Maschi;128
1989;Ethiopia;Africa;Femmine;1235
1989;Ethiopia;Africa;Maschi;691
1989;Philippines;Asia;Femmine;1192
1989;Philippines;Asia;Maschi;359
1989;Finland;Europa;Femmine;34
1989;Finland;Europa;Maschi;18
1989;France;Europa;Femmine;1228
1989;France;Europa;Maschi;1056
1989;Gabon;Africa;Femmine;2
1989;Gambia;Africa;Maschi;3
1989;Germany;Europa;Femmine;1164
1989;Germany;Europa;Maschi;1043
1989;Germany Democratica;Europa;Femmine;2
1989;Germany Democratica;Europa;Maschi;1
1989;Ghana;Africa;Femmine;6
1989;Ghana;Africa;Maschi;10
1989;Jamaica;Centro America;Femmine;3
1989;Jamaica;Centro America;Maschi;2
1989;Japan;Asia;Femmine;640
1989;Japan;Asia;Maschi;750
1989;Jordan;Asia;Femmine;7
1989;Jordan;Asia;Maschi;161
1989;Greece;Europa;Femmine;318
1989;Greece;Europa;Maschi;647
1989;Guatemala;Centro America;Femmine;9
1989;Guatemala;Centro America;Maschi;5
1989;Guinea;Africa;Femmine;2
1989;Guinea;Africa;Maschi;17
1989;Guinea Bissau;Africa;Maschi;1
1989;Haiti;Centro America;Femmine;25
1989;Haiti;Centro America;Maschi;4
1989;Honduras;Centro America;Femmine;4
1989;Honduras;Centro America;Maschi;1
1989;India;Asia;Femmine;104
1989;India;Asia;Maschi;95
1989;Indonesia;Asia;Femmine;13
1989;Indonesia;Asia;Maschi;12
1989;Iran;Asia;Femmine;462
1989;Iran;Asia;Maschi;665
1989;Iraq;Asia;Femmine;24
1989;Iraq;Asia;Maschi;51
1989;Ireland;Europa;Femmine;67
1989;Ireland;Europa;Maschi;44
1989;Iceland;Europa;Femmine;2
1989;Iceland;Europa;Maschi;3
1989;Israel;Europa;Femmine;395
1989;Israel;Europa;Maschi;545
1989;Jugoslavia (Serbia-Montenegro);Europa;Femmine;479
1989;Jugoslavia (Serbia-Montenegro);Europa;Maschi;464
1989;Kenya;Africa;Femmine;4
1989;Kenya;Africa;Maschi;8
1989;Kuwait;Asia;Maschi;2
1989;Lebanon;Asia;Femmine;140
1989;Lebanon;Asia;Maschi;245
1989;Liberia;Africa;Femmine;1
1989;Liberia;Africa;Maschi;3
1989;Libya;Africa;Femmine;60
1989;Libya;Africa;Maschi;77
1989;Liechtenstein;Europa;Femmine;1
1989;Luxembourg;Europa;Femmine;5
1989;Luxembourg;Europa;Maschi;10
1989;Madagascar;Africa;Femmine;3
1989;Madagascar;Africa;Maschi;2
1989;Malaysia;Asia;Femmine;3
1989;Malaysia;Asia;Maschi;11
1989;Mali;Africa;Femmine;1
1989;Mali;Africa;Maschi;2
1989;Malta;Europa;Femmine;15
1989;Malta;Europa;Maschi;7
1989;Morocco;Africa;Femmine;128
1989;Morocco;Africa;Maschi;428
1989;Mauritius;Africa;Femmine;79
1989;Mauritius;Africa;Maschi;49
1989;Mexico;Centro America;Femmine;43
1989;Mexico;Centro America;Maschi;43
1989;Mozambique;Africa;Femmine;3
1989;Mozambique;Africa;Maschi;4
1989;Myanmar (ex Birmania);Asia;Femmine;1
1989;Nepal;Asia;Femmine;2
1989;Nepal;Asia;Maschi;4
1989;Nicaragua;Centro America;Femmine;6
1989;Nicaragua;Centro America;Maschi;4
1989;Niger;Africa;Maschi;1
1989;Nigeria;Africa;Femmine;19
1989;Nigeria;Africa;Maschi;38
1989;Norway;Europa;Femmine;11
1989;Norway;Europa;Maschi;16
1989;New Zealand;Oceania;Femmine;5
1989;New Zealand;Oceania;Maschi;6
1989;Netherlands;Europa;Femmine;165
1989;Netherlands;Europa;Maschi;167
1989;Pakistan;Asia;Femmine;8
1989;Pakistan;Asia;Maschi;76
1989;Panama;Centro America;Femmine;6
1989;Panama;Centro America;Maschi;7
1989;Paraguay;Sud America;Femmine;7
1989;Paraguay;Sud America;Maschi;1
1989;Peru;Sud America;Femmine;122
1989;Peru;Sud America;Maschi;54
1989;Poland;Europa;Femmine;116
1989;Poland;Europa;Maschi;88
1989;Portugal;Europa;Femmine;88
1989;Portugal;Europa;Maschi;58
1989;United Kingdom;Europa;Femmine;1139
1989;United Kingdom;Europa;Maschi;1145
1989;Romania;Europa;Femmine;104
1989;Romania;Europa;Maschi;89
1989;Rwanda;Africa;Femmine;5
1989;Rwanda;Africa;Maschi;6
1989;San Marino;Europa;Femmine;45
1989;San Marino;Europa;Maschi;29
1989;Senegal;Africa;Femmine;10
1989;Senegal;Africa;Maschi;84
1989;Seychelles;Africa;Femmine;67
1989;Seychelles;Africa;Maschi;14
1989;Sierra Leone;Africa;Femmine;8
1989;Sierra Leone;Africa;Maschi;14
1989;Singapore;Asia;Femmine;3
1989;Singapore;Asia;Maschi;3
1989;Syria;Asia;Femmine;39
1989;Syria;Asia;Maschi;75
1989;Somalia;Africa;Femmine;60
1989;Somalia;Africa;Maschi;84
1989;Spain;Europa;Femmine;549
1989;Spain;Europa;Maschi;379
1989;Sri Lanka;Asia;Femmine;166
1989;Sri Lanka;Asia;Maschi;289
1989;United States of America;Nord America;Femmine;801
1989;United States of America;Nord America;Maschi;822
1989;South Africa;Africa;Femmine;23
1989;South Africa;Africa;Maschi;24
1989;Sudan;Africa;Femmine;5
1989;Sudan;Africa;Maschi;19
1989;Sweden;Europa;Femmine;77
1989;Sweden;Europa;Maschi;66
