_id,anno_rilevamento_reato,Reati_denunciati_tipologia,reati_denunciati
522,2014,Corruzione di minorenne,5
523,2014,Sfruttamento e favoreggiamento della prostituzione,30
524,2014,Pornografia minorile e detenzione di materiale pedopornografico,24
525,2014,Furti,104287
526,2014,furti con strappo,1872
527,2014,Furti  con destrezza,23579
528,2014,Furti  in abitazioni,9426
529,2014,Furti  in esercizi commerciali,7774
530,2014,Furti  in auto in sosta,15786
531,2014,Furti  di opere d'arte e materiale archeologico,18
532,2014,Furti di automezzi pesanti trasportanti merci,21
533,2014,Furti di ciclomotori,1120
534,2014,Furti di motocicli,3698
535,2014,Furti di autovetture,6803
536,2014,Rapine totale,3340
537,2014,Rapine in abitazione,171
538,2014,Rapine in banca,33
539,2014,Rapine in uffici postali,17
540,2014,Rapine in esercizi commerciali,439
541,2014,Rapine in pubblica via,2072
542,2014,Estorsioni,334
543,2014,Truffe e frodi informatiche,5151
544,2014,Delitti informatici,694
545,2014,Contraffazione di marchi e prodotti industriali,301
546,2014,Violazione della propriet? intellettuale,14
547,2014,Ricettazione,1130
548,2014,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",25
549,2014,Usura,10
550,2014,Danneggiamenti,18004
551,2014,Incendi totale,123
552,2014,Incendi boschivi,0
553,2014,Danneggiamento seguito da incendio,95
554,2014,Normativa sugli stupefacenti,1345
555,2014,Attentati,6
556,2014,Associazione per delinquere,21
557,2014,Associazione di tipo mafioso,0
558,2014,Contrabbando,11
559,2014,Altri delitti,20386
560,2014,Reati totale,162177
561,2013,Strage,0
562,2013,Omicidi volontari totale,13
563,2013,Omicidi a scopo di furto o rapina,2
564,2013,Omicidi di tipo mafioso,0
565,2013,Omicidi a scopo terroristico,0
566,2013,Tentati omicidi,38
567,2013,Infanticidi,0
568,2013,Omicidi preterintenzionali,3
569,2013,Omicidi colposi totale,42
570,2013,Omicidi colposi da incidente stradale,26
571,2013,Percosse,570
572,2013,Lesioni dolose,2452
573,2013,Minacce,2217
574,2013,Sequestri di persona,51
575,2013,Ingiurie,1311
576,2013,Violenze sessuali,304
577,2013,Atti sessuali con minorenne,18
578,2013,Corruzione di minorenne,5
579,2013,Sfruttamento e favoreggiamento della prostituzione,38
580,2013,Pornografia minorile e detenzione di materiale pedopornografico,17
581,2013,Furti,99195
582,2013,furti con strappo,1547
583,2013,Furti  con destrezza,22370
584,2013,Furti  in abitazioni,9221
585,2013,Furti  in esercizi commerciali,6753
586,2013,Furti  in auto in sosta,14456
587,2013,Furti  di opere d'arte e materiale archeologico,17
588,2013,Furti di automezzi pesanti trasportanti merci,25
589,2013,Furti di ciclomotori,1198
590,2013,Furti di motocicli,3445
591,2013,Furti di autovetture,7060
592,2013,Rapine totale,3536
593,2013,Rapine in abitazione,236
594,2013,Rapine in banca,73
595,2013,Rapine in uffici postali,16
596,2013,Rapine in esercizi commerciali,440
597,2013,Rapine in pubblica via,2107
598,2013,Estorsioni,247
599,2013,Truffe e frodi informatiche,5089
600,2013,Delitti informatici,508
601,2013,Contraffazione di marchi e prodotti industriali,278
602,2013,Violazione della propriet? intellettuale,32
603,2013,Ricettazione,1319
604,2013,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",35
605,2013,Usura,13
606,2013,Danneggiamenti,19607
607,2013,Incendi totale,114
608,2013,Incendi boschivi,0
609,2013,Danneggiamento seguito da incendio,92
610,2013,Normativa sugli stupefacenti,1485
611,2013,Attentati,17
612,2013,Associazione per delinquere,26
613,2013,Associazione di tipo mafioso,0
614,2013,Contrabbando,2
615,2013,Altri delitti,22195
616,2013,Reati totale,160869
617,2012,Strage,0
618,2012,Omicidi volontari totale,16
619,2012,Omicidi a scopo di furto o rapina,0
620,2012,Omicidi di tipo mafioso,0
621,2012,Omicidi a scopo terroristico,0
622,2012,Tentati omicidi,45
623,2012,Infanticidi,1
624,2012,Omicidi preterintenzionali,2
625,2012,Omicidi colposi totale,45
626,2012,Omicidi colposi da incidente stradale,41
627,2012,Percosse,570
628,2012,Lesioni dolose,2617
629,2012,Minacce,2207
630,2012,Sequestri di persona,64
631,2012,Ingiurie,1383
632,2012,Violenze sessuali,323
633,2012,Atti sessuali con minorenne,19
634,2012,Corruzione di minorenne,1
635,2012,Sfruttamento e favoreggiamento della prostituzione,51
636,2012,Pornografia minorile e detenzione di materiale pedopornografico,14
637,2012,Furti,101336
638,2012,furti con strappo,1524
639,2012,Furti  con destrezza,21541
640,2012,Furti  in abitazioni,8092
641,2012,Furti  in esercizi commerciali,6919
642,2012,Furti  in auto in sosta,15437
643,2012,Furti  di opere d'arte e materiale archeologico,23
644,2012,Furti di automezzi pesanti trasportanti merci,48
645,2012,Furti di ciclomotori,1578
646,2012,Furti di motocicli,4223
647,2012,Furti di autovetture,7489
648,2012,Rapine totale,3390
649,2012,Rapine in abitazione,173
650,2012,Rapine in banca,42
651,2012,Rapine in uffici postali,10
652,2012,Rapine in esercizi commerciali,462
653,2012,Rapine in pubblica via,2060
654,2012,Estorsioni,212
655,2012,Truffe e frodi informatiche,4712
656,2012,Delitti informatici,320
657,2012,Contraffazione di marchi e prodotti industriali,340
658,2012,Violazione della propriet? intellettuale,22
659,2012,Ricettazione,1379
660,2012,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",43
661,2012,Usura,13
662,2012,Danneggiamenti,20422
663,2012,Incendi totale,129
664,2012,Incendi boschivi,0
665,2012,Danneggiamento seguito da incendio,128
666,2012,Normativa sugli stupefacenti,1560
667,2012,Attentati,51
668,2012,Associazione per delinquere,19
669,2012,Associazione di tipo mafioso,0
670,2012,Contrabbando,8
671,2012,Altri delitti,19442
672,2012,Reati totale,160884
673,2011,Strage,1
674,2011,Omicidi volontari totale,14
675,2011,Omicidi a scopo di furto o rapina,2
676,2011,Omicidi di tipo mafioso,0
677,2011,Omicidi a scopo terroristico,0
678,2011,Tentati omicidi,54
679,2011,Infanticidi,0
680,2011,Omicidi preterintenzionali,2
681,2011,Omicidi colposi totale,38
682,2011,Omicidi colposi da incidente stradale,30
683,2011,Percosse,587
684,2011,Lesioni dolose,2621
685,2011,Minacce,2295
686,2011,Sequestri di persona,46
687,2011,Ingiurie,1475
688,2011,Violenze sessuali,273
689,2011,Atti sessuali con minorenne,22
690,2011,Corruzione di minorenne,6
691,2011,Sfruttamento e favoreggiamento della prostituzione,71
692,2011,Pornografia minorile e detenzione di materiale pedopornografico,17
693,2011,Furti,102006
694,2011,furti con strappo,1142
695,2011,Furti  con destrezza,20544
696,2011,Furti  in abitazioni,7270
697,2011,Furti  in esercizi commerciali,6107
698,2011,Furti  in auto in sosta,18043
699,2011,Furti  di opere d'arte e materiale archeologico,16
700,2011,Furti di automezzi pesanti trasportanti merci,45
701,2011,Furti di ciclomotori,1694
702,2011,Furti di motocicli,4485
703,2011,Furti di autovetture,8421
704,2011,Rapine totale,3070
705,2011,Rapine in abitazione,96
706,2011,Rapine in banca,55
707,2011,Rapine in uffici postali,14
708,2011,Rapine in esercizi commerciali,324
709,2011,Rapine in pubblica via,1864
710,2011,Estorsioni,220
711,2011,Truffe e frodi informatiche,3809
712,2011,Delitti informatici,328
713,2011,Contraffazione di marchi e prodotti industriali,258
714,2011,Violazione della propriet? intellettuale,39
715,2011,Ricettazione,1207
716,2011,"Riciclaggio e impiego di denaro, beni o utilit? di provenienza illecita",47
717,2011,Usura,8
718,2011,Danneggiamenti,24204
719,2011,Incendi totale,163
720,2011,Incendi boschivi,0
721,2011,Danneggiamento seguito da incendio,120
722,2011,Normativa sugli stupefacenti,1546
723,2011,Attentati,24
724,2011,Associazione per delinquere,27
725,2011,Associazione di tipo mafioso,0
726,2011,Contrabbando,3
727,2011,Altri delitti,19968
728,2011,Reati totale,164569
729,2010,Strage,1
730,2010,Omicidi volontari totale,16
731,2010,Omicidi a scopo di furto o rapina,0
